GRDC Agro Ecological Zones,GRDC Regions,Sub regions,Season,Crops,Area Hectares,Value Tonnes,Disease Groups,Disease,Disease Presence Status,Disease Incidence year_Percentage,Disease Incidence Area_Percentage,Disease Severity without control_Percentage,Disease Severity with control_Percentage,Disease Severity Control GeneticContributionPercentage,Disease Severity Control CulturalContributionPercentage,Disease Severity Control PesticideContributionPercentage,Average Commodity Price,FungicideResistanceRisk
NSW Central Zone,Southern,Balranald,2010/11,Barley,8997,25197,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,250,No
NSW Central Zone,Southern,Condobolin,2010/11,Barley,61520,147422,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,250,No
NSW Central Zone,Southern,Deniliquin,2010/11,Barley,62475,149306,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,250,No
NSW Central Zone,Southern,Griffith,2010/11,Barley,64748,187115,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,250,No
NSW Central Zone,Southern,Narrandera,2010/11,Barley,39752,120427,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,250,No
NSW Central Zone,Southern,Nyngan,2010/11,Barley,17886,40648,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,250,No
NSW Central Zone,Southern,Tocumwal,2010/11,Barley,27139,86876,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,250,No
NSW Central Zone,Southern,Balranald,2011/12,Barley,7540,17639,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,252,No
NSW Central Zone,Southern,Condobolin,2011/12,Barley,47261,84710,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,252,No
NSW Central Zone,Southern,Deniliquin,2011/12,Barley,52357,104518,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,252,No
NSW Central Zone,Southern,Griffith,2011/12,Barley,44078,100881,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,252,No
NSW Central Zone,Southern,Narrandera,2011/12,Barley,27061,64927,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,252,No
NSW Central Zone,Southern,Nyngan,2011/12,Barley,15061,27143,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,252,No
